env,cost_limit,source,target_steps,score_mean,score_std,score_count,cost_mean,cost_std,cost_count,laglr
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),700000,2587.8,181.4,3,22.3,22.2,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),800000,2545.2,212.5,3,37.6,9.4,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),900000,2528.5,162.9,3,3.9,3.7,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),700000,1566.0,857.2,3,18.0,11.8,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),800000,1626.6,158.9,3,43.5,8.2,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),900000,1902.4,359.2,3,43.9,29.7,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),700000,1613.5,553.1,3,53.1,47.1,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),800000,1794.4,672.1,3,82.9,72.0,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),900000,1838.3,583.0,3,32.7,33.7,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),700000,886.0,110.8,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),800000,1134.0,170.2,3,0.1,0.1,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),900000,1140.6,33.1,3,0.5,0.8,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),700000,1192.7,86.6,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),800000,1265.9,101.8,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),900000,1406.8,172.4,3,0.0,0.0,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,MACPO Run,10000000,1374.3,85.7,2,22.0,4.2,2,1e-05
Safety2x4AntVelocity-v0,0.2,MACPO Paper ~,10000000,900.0,,0,15.0,,0,1e-05
Safety4x2AntVelocity-v0,1.0,MACPO Paper ~,10000000,650.0,,0,15.0,,0,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,MACPO Paper ~,10000000,2250.0,,0,40.0,,0,1e-05
Safety2x4AntVelocity-v0,25.0,SafePO Paper,10000000,1099.23,,0,3.39,,0,1e-05
Safety4x2AntVelocity-v0,25.0,SafePO Paper,10000000,815.77,,0,0.0,,0,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafePO Paper,10000000,1637.29,,0,52.1,,0,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-4),100000,393.4,466.5,3,0.0,0.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-4),500000,1554.6,631.6,3,0.8,1.3,3,0.0001
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-4),700000,1801.6,696.3,3,4.6,4.1,3,0.0001
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-4),800000,1931.8,820.7,3,127.0,208.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-4),900000,1744.9,724.4,3,66.8,100.4,3,0.0001
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-4),1000000,1480.8,97.6,3,4.6,2.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-4),100000,-60.1,39.0,3,0.0,0.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-4),500000,743.2,408.4,3,0.0,0.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-4),700000,969.0,587.9,3,0.0,0.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-4),800000,1019.7,396.6,3,0.0,0.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-4),900000,1070.2,308.5,3,0.0,0.0,3,0.0001
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-4),1000000,1149.1,312.7,3,0.0,0.0,3,0.0001
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-4),100000,903.4,27.3,3,0.0,0.0,3,0.0001
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-4),500000,1187.2,137.5,3,0.0,0.0,3,0.0001
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-4),700000,1184.0,499.9,3,5.1,5.0,3,0.0001
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-4),800000,1373.5,727.7,3,2.0,2.8,3,0.0001
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-4),900000,1494.8,831.1,3,3.7,6.0,3,0.0001
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-4),1000000,1618.4,640.8,3,4.1,5.8,3,0.0001
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),100000,917.0,58.0,3,0.0,0.0,3,0.0001
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),500000,1207.0,175.0,3,0.1,0.2,3,0.0001
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),700000,1156.7,477.8,3,1.4,1.2,3,0.0001
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),800000,1221.1,478.7,3,2.0,0.6,3,0.0001
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),900000,1323.1,629.2,3,7.0,7.2,3,0.0001
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),1000000,1552.4,475.2,3,22.6,18.3,3,0.0001
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-4),100000,960.3,33.3,3,0.0,0.0,3,0.0001
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-4),500000,1069.5,106.2,3,0.1,0.1,3,0.0001
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-4),700000,1432.8,404.7,3,4.2,7.3,3,0.0001
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-4),800000,1378.4,295.2,3,7.7,13.4,3,0.0001
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-4),900000,1595.7,410.7,3,2.5,4.0,3,0.0001
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-4),1000000,1558.8,359.0,3,4.2,7.3,3,0.0001
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),100000,918.7,12.6,3,0.0,0.0,3,0.0001
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),500000,1025.5,69.4,3,0.0,0.0,3,0.0001
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),700000,1168.3,497.4,3,0.0,0.0,3,0.0001
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),800000,1221.5,220.3,3,0.1,0.2,3,0.0001
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),900000,1260.2,302.6,3,0.7,1.2,3,0.0001
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-4),1000000,1504.2,520.0,3,2.9,4.8,3,0.0001
