map,algorithm,cost_type,cost_limit,seed,status,wandb_link,slurm_job_id,score,cost,winrate,metric_step,notes
3s_vs_4z,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_4z_2_time_20260503_143518,17308622,,,,100000,
3s_vs_4z,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_4z_3_time_20260503_143518,17308623,,,,100000,
3s_vs_5z,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_5z_1_time_20260503_143521,17308624,,,,100000,
3s_vs_5z,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_5z_2_time_20260503_143611,17308626,,,,100000,
3s_vs_5z,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_5z_3_time_20260503_143607,17308627,,,,100000,
2s3z,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_2s3z_1_time_20260503_143607,17308628,,,,100000,
2s3z,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_2s3z_2_time_20260503_143607,17308629,,,,100000,
2s3z,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_2s3z_3_time_20260503_143607,17308630,,,,100000,
3m,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3m_1_time_20260503_143607,17308631,,,,100000,
3m,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3m_2_time_20260503_143607,17308632,,,,100000,
3m,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3m_3_time_20260503_143606,17308633,,,,100000,
2s_vs_1sc,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_2s_vs_1sc_1_time_20260503_143608,17308634,,,,100000,
2s_vs_1sc,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_2s_vs_1sc_2_time_20260503_143605,17308635,,,,100000,
2s_vs_1sc,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_2s_vs_1sc_3_time_20260503_143605,17308636,,,,100000,
