wandb_link,env,algorithm,seed,cost_limit,slurm_id,laglr
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety2x4AntVelocity-v0_1_time_20260624_130457,Safety2x4AntVelocity-v0,MACPO,1,25.0,18366191,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety2x4AntVelocity-v0_2_time_20260624_130504,Safety2x4AntVelocity-v0,MACPO,2,25.0,18366192,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety2x4AntVelocity-v0_3_time_20260624_130506,Safety2x4AntVelocity-v0,MACPO,3,25.0,18366193,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety4x2AntVelocity-v0_1_time_20260624_130505,Safety4x2AntVelocity-v0,MACPO,1,25.0,18366194,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety4x2AntVelocity-v0_2_time_20260624_130505,Safety4x2AntVelocity-v0,MACPO,2,25.0,18366195,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety4x2AntVelocity-v0_3_time_20260624_130510,Safety4x2AntVelocity-v0,MACPO,3,25.0,18366196,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=0.2_Safety2x4AntVelocity-v0_1_time_20260624_133425,Safety2x4AntVelocity-v0,MACPO,1,0.2,18367114,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=0.2_Safety2x4AntVelocity-v0_2_time_20260624_133423,Safety2x4AntVelocity-v0,MACPO,2,0.2,18367115,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=0.2_Safety2x4AntVelocity-v0_3_time_20260624_133419,Safety2x4AntVelocity-v0,MACPO,3,0.2,18367116,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=1.0_Safety4x2AntVelocity-v0_1_time_20260624_133419,Safety4x2AntVelocity-v0,MACPO,1,1.0,18367117,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=1.0_Safety4x2AntVelocity-v0_2_time_20260624_133419,Safety4x2AntVelocity-v0,MACPO,2,1.0,18367136,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=1.0_Safety4x2AntVelocity-v0_3_time_20260624_133419,Safety4x2AntVelocity-v0,MACPO,3,1.0,18367137,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=5.0_Safety2x3HalfCheetahVelocity-v0_1_time_20260624_133423,Safety2x3HalfCheetahVelocity-v0,MACPO,1,5.0,18367138,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=5.0_Safety2x3HalfCheetahVelocity-v0_2_time_20260624_133423,Safety2x3HalfCheetahVelocity-v0,MACPO,2,5.0,18367143,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=5.0_Safety2x3HalfCheetahVelocity-v0_3_time_20260624_133423,Safety2x3HalfCheetahVelocity-v0,MACPO,3,5.0,18367144,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety2x3HalfCheetahVelocity-v0_1_time_20260530_203403,Safety2x3HalfCheetahVelocity-v0,MACPO,1,25.0,exp7,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_None_cost_limit=25.0_Safety2x3HalfCheetahVelocity-v0_2_time_20260530_203411,Safety2x3HalfCheetahVelocity-v0,MACPO,2,25.0,exp7,1e-05
TODO_update_when_logged,Safety2x3HalfCheetahVelocity-v0,MACPO,3,25.0,18505362,1e-05
