map,cost_limit,seed,version,wandb_run_id
2s_vs_1sc,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s1_date04-29-hr12-07-08_17261626_feat-lag-real-episode-cost
2s_vs_1sc,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s2_date04-29-hr12-07-10_17261627_feat-lag-real-episode-cost
2s_vs_1sc,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s3_date04-29-hr12-07-10_17261628_feat-lag-real-episode-cost
3m,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0_3m_23_time_20251001_143129
3m,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3m_2_time_20251120_204648
3m,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3m_3_time_20251224_014514
3m,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s1_date04-29-hr12-07-14_17261629_feat-lag-real-episode-cost
3m,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s2_date04-29-hr12-07-15_17261630_feat-lag-real-episode-cost
3m,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s3_date04-29-hr12-07-15_17261631_feat-lag-real-episode-cost
3s5z_vs_3s6z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s5z_vs_3s6z_1_time_20251204_165620
3s5z_vs_3s6z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s5z_vs_3s6z_2_time_20251204_171311
3s5z_vs_3s6z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s5z_vs_3s6z_3_time_20251227_110827
3s5z_vs_3s6z,0,1,new,safedreamer_dai_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s1_date04-30-hr09-11-20_17273492_feat-lag-real-episod
3s5z_vs_3s6z,0,2,new,safedreamer_dai_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s2_date04-30-hr09-11-21_17273493_feat-lag-real-episod
3s5z_vs_3s6z,0,3,new,safedreamer_dai_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s3_date04-30-hr09-11-25_17273494_feat-lag-real-episod
3s_vs_3z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_3z_1_time_20251123_084839
3s_vs_3z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_3z_2_time_20251123_084839
3s_vs_3z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_3z_3_time_20251224_014514
3s_vs_3z,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_3z_s1_date04-29-hr12-07-19_17261632_feat-lag-real-episode-cost
3s_vs_3z,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_3z_s2_date04-29-hr12-07-19_17261633_feat-lag-real-episode-cost
3s_vs_3z,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_3z_s3_date04-29-hr12-07-19_17261634_feat-lag-real-episode-cost
3s_vs_4z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_4z_23_time_20251027_174931
3s_vs_4z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_4z_2_time_20251124_094937
3s_vs_4z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_4z_3_time_20251224_014514
3s_vs_4z,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_4z_s1_date04-29-hr12-07-26_17261635_feat-lag-real-episode-cost
3s_vs_4z,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_4z_s2_date04-29-hr12-07-26_17261636_feat-lag-real-episode-cost
3s_vs_4z,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_4z_s3_date04-30-hr02-29-25_17261637_feat-lag-real-episode-cost
3s_vs_5z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_5z_1_time_20251130_065223
3s_vs_5z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_5z_2_time_20251130_065259
3s_vs_5z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_3s_vs_5z_3_time_20251224_014514
3s_vs_5z,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_5z_s1_date04-30-hr02-29-33_17261638_feat-lag-real-episode-cost
3s_vs_5z,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_5z_s2_date04-30-hr02-29-26_17261639_feat-lag-real-episode-cost
3s_vs_5z,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3s_vs_5z_s3_date04-30-hr02-29-26_17261640_feat-lag-real-episode-cost
8m,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_8m_23_time_20251023_205534
8m,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_8m_2_time_20251127_085241
8m,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_8m_3_time_20251224_014514
8m,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_8m_s1_date04-26-hr21-43-35-id-17209123
8m,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_8m_s2_date04-26-hr21-43-38-id-17209124
8m,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_8m_s3_date04-26-hr21-43-42-id-17209125
MMM,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_MMM_1_time_20251127_095030
MMM,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_MMM_2_time_20251127_095030
MMM,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_MMM_3_time_20251224_014514
MMM,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s1_date04-30-hr08-49-05_17273374_feat-lag-real-episode-cost
MMM,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s2_date04-30-hr08-49-16_17273375_feat-lag-real-episode-cost
MMM,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_MMM_s3_date04-30-hr08-47-08_17273376_feat-lag-real-episode-cost
bane_vs_bane,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_bane_vs_bane_1_time_20251201_233333
bane_vs_bane,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_bane_vs_bane_2_time_20251129_170139
bane_vs_bane,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_bane_vs_bane_3_time_20251224_014514
bane_vs_bane,0,1,new,safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s1_date04-30-hr09-11-25_17273495_feat-lag-real-episod
bane_vs_bane,0,2,new,safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s2_date04-30-hr09-11-31_17273496_feat-lag-real-episod
bane_vs_bane,0,3,new,safedreamer_dai_starcraft_lag1e-05_0.0_bane_vs_bane_s3_date05-01-hr22-51-23_17289848_feat-lag-real-episod
